EL1 in a plain VM (no EL2)	AMX_STATE_T_EL1	S3_4_C15_C1_3	read	trap-to-vmm	TRAP->VMM      ESR=0x62373c03 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C1_3 read -> x0
EL1 in a plain VM (no EL2)	VMSA_LOCK_EL1	S3_4_C15_C1_2	read	trap-to-vmm	TRAP->VMM      ESR=0x62353c03 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C1_2 read -> x0
EL1 in a plain VM (no EL2)	VMSA_LOCK_EL1	S3_4_C15_C1_2	write(same)	trap-to-vmm	TRAP->VMM      ESR=0x62353c22 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C1_2 write <- x1
EL1 in a plain VM (no EL2)	VMSA_LOCK_EL1	S3_4_C15_C1_2	read-back	trap-to-vmm	TRAP->VMM      ESR=0x62353c43 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C1_2 read -> x2
EL1 in a plain VM (no EL2)	VMSA_LOCK_EL1	S3_4_C15_C1_2	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x62353c02 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C1_2 write <- x0
EL1 in a plain VM (no EL2)	CTRR_A_LWR_EL1	S3_4_C15_C2_3	read	trap-to-vmm	TRAP->VMM      ESR=0x62373c05 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_3 read -> x0
EL1 in a plain VM (no EL2)	CTRR_A_LWR_EL1	S3_4_C15_C2_3	write(same)	trap-to-vmm	TRAP->VMM      ESR=0x62373c24 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_3 write <- x1
EL1 in a plain VM (no EL2)	CTRR_A_LWR_EL1	S3_4_C15_C2_3	read-back	trap-to-vmm	TRAP->VMM      ESR=0x62373c45 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_3 read -> x2
EL1 in a plain VM (no EL2)	CTRR_A_LWR_EL1	S3_4_C15_C2_3	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x62373c04 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_3 write <- x0
EL1 in a plain VM (no EL2)	CTRR_A_UPR_EL1	S3_4_C15_C2_4	read	trap-to-vmm	TRAP->VMM      ESR=0x62393c05 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_4 read -> x0
EL1 in a plain VM (no EL2)	CTRR_A_CTL_EL1	S3_4_C15_C2_5	read	trap-to-vmm	TRAP->VMM      ESR=0x623b3c05 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C2_5 read -> x0
EL1 in a plain VM (no EL2)	HID0	S3_0_C15_C0_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62303c01 EC=0x18 MSR/MRS/SYS trap S3_0_C15_C0_0 read -> x0
EL1 in a plain VM (no EL2)	HID4	S3_0_C15_C4_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62303c09 EC=0x18 MSR/MRS/SYS trap S3_0_C15_C4_0 read -> x0
EL1 in a plain VM (no EL2)	HID11	S3_0_C15_C11_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62303c17 EC=0x18 MSR/MRS/SYS trap S3_0_C15_C11_0 read -> x0
EL1 in a plain VM (no EL2)	EHID0	S3_0_C15_C0_1	read	trap-to-vmm	TRAP->VMM      ESR=0x62323c01 EC=0x18 MSR/MRS/SYS trap S3_0_C15_C0_1 read -> x0
EL1 in a plain VM (no EL2)	PMCR0_EL1	S3_1_C15_C0_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62307c01 EC=0x18 MSR/MRS/SYS trap S3_1_C15_C0_0 read -> x0
EL1 in a plain VM (no EL2)	PMCR0_EL1	S3_1_C15_C0_0	write(same)	trap-to-vmm	TRAP->VMM      ESR=0x62307c20 EC=0x18 MSR/MRS/SYS trap S3_1_C15_C0_0 write <- x1
